setup_hour,trades,wins,losses,winrate,profit,roi,profit_factor
,0,0,0,0.0,0.0,0.0,0.0
balanced_rebound | H0,28,15,13,53.57,-0.17,-0.61,0.99
balanced_rebound | H1,39,21,18,53.85,0.01,0.03,1.0
balanced_rebound | H10,29,15,14,51.72,-0.09,-0.31,0.99
balanced_rebound | H11,25,12,13,48.0,-2.66,-10.64,0.8
balanced_rebound | H12,38,19,19,50.0,-2.65,-6.97,0.86
balanced_rebound | H13,26,12,14,46.15,-3.67,-14.12,0.74
balanced_rebound | H14,52,24,28,46.15,-6.42,-12.35,0.76
balanced_rebound | H15,44,22,22,50.0,-1.13,-2.57,0.94
balanced_rebound | H16,45,26,19,57.78,5.44,12.09,1.32
balanced_rebound | H17,45,30,15,66.67,9.85,21.89,1.66
balanced_rebound | H18,38,20,18,52.63,-0.75,-1.97,0.96
balanced_rebound | H19,40,22,18,55.0,1.92,4.8,1.11
balanced_rebound | H2,39,14,25,35.9,-13.02,-33.38,0.48
balanced_rebound | H20,34,16,18,47.06,-4.34,-12.76,0.76
balanced_rebound | H21,29,10,19,34.48,-10.42,-35.93,0.45
balanced_rebound | H22,16,10,6,62.5,2.41,15.06,1.4
balanced_rebound | H23,30,16,14,53.33,-0.34,-1.13,0.98
balanced_rebound | H3,51,16,35,31.37,-21.32,-41.8,0.39
balanced_rebound | H4,37,21,16,56.76,2.07,5.59,1.13
balanced_rebound | H5,26,13,13,50.0,-1.85,-7.12,0.86
balanced_rebound | H6,35,20,15,57.14,2.1,6.0,1.14
balanced_rebound | H7,47,24,23,51.06,-1.35,-2.87,0.94
balanced_rebound | H8,12,4,8,33.33,-2.55,-21.25,0.58
balanced_rebound | H9,57,25,32,43.86,-9.46,-16.6,0.69
extreme_reversion | H0,84,44,40,52.38,-1.2,-1.43,0.97
extreme_reversion | H1,51,26,25,50.98,-2.69,-5.27,0.89
extreme_reversion | H10,49,28,21,57.14,3.11,6.35,1.15
extreme_reversion | H11,31,14,17,45.16,-4.94,-15.94,0.71
extreme_reversion | H12,69,37,32,53.62,-0.21,-0.3,0.99
extreme_reversion | H13,92,42,50,45.65,-11.89,-12.92,0.75
extreme_reversion | H14,33,13,20,39.39,-6.82,-20.67,0.62
extreme_reversion | H15,101,52,49,51.49,-3.34,-3.31,0.93
extreme_reversion | H16,79,35,44,44.3,-13.87,-17.56,0.68
extreme_reversion | H17,54,32,22,59.26,7.46,13.81,1.37
extreme_reversion | H18,102,51,51,50.0,-5.04,-4.94,0.9
extreme_reversion | H19,60,29,31,48.33,-5.0,-8.33,0.83
extreme_reversion | H2,71,36,35,50.7,-4.17,-5.87,0.88
extreme_reversion | H20,73,26,47,35.62,-23.56,-32.27,0.49
extreme_reversion | H21,39,22,17,56.41,2.87,7.36,1.18
extreme_reversion | H22,10,6,4,60.0,1.08,10.8,1.27
extreme_reversion | H23,35,22,13,62.86,5.88,16.8,1.45
extreme_reversion | H3,75,33,42,44.0,-13.76,-18.35,0.67
extreme_reversion | H4,35,19,16,54.29,0.33,0.94,1.02
extreme_reversion | H5,52,25,27,48.08,-5.37,-10.33,0.8
extreme_reversion | H6,111,54,57,48.65,-9.74,-8.77,0.83
extreme_reversion | H7,78,43,35,55.13,2.99,3.83,1.09
extreme_reversion | H8,65,37,28,56.92,5.83,8.97,1.22
extreme_reversion | H9,178,69,109,38.76,-47.84,-26.88,0.55
