trade_date,setup_type,trade_hour,trades,wins,losses,winrate,profit,roi,profit_factor
2026-05-17,,16,0,0,0,0.0,0.0,0.0,0.0
2026-05-18,,13,0,0,0,0.0,0.0,0.0,0.0
2026-05-18,,14,0,0,0,0.0,0.0,0.0,0.0
2026-05-18,,15,0,0,0,0.0,0.0,0.0,0.0
2026-05-18,,17,0,0,0,0.0,0.0,0.0,0.0
2026-05-18,,18,0,0,0,0.0,0.0,0.0,0.0
2026-05-18,,20,0,0,0,0.0,0.0,0.0,0.0
2026-05-18,,21,0,0,0,0.0,0.0,0.0,0.0
2026-05-18,,22,0,0,0,0.0,0.0,0.0,0.0
2026-05-19,,22,0,0,0,0.0,0.0,0.0,0.0
2026-05-19,,23,0,0,0,0.0,0.0,0.0,0.0
2026-05-20,,0,0,0,0,0.0,0.0,0.0,0.0
2026-05-20,balanced_rebound,10,3,2,1,66.67,0.72,24.0,1.72
2026-05-20,balanced_rebound,11,2,1,1,50.0,-0.14,-7.0,0.86
2026-05-20,balanced_rebound,13,2,1,1,50.0,-0.14,-7.0,0.86
2026-05-20,balanced_rebound,15,1,1,0,100.0,0.86,86.0,0.0
2026-05-20,balanced_rebound,16,2,1,1,50.0,-0.14,-7.0,0.86
2026-05-20,balanced_rebound,18,1,0,1,0.0,-1.0,-100.0,0.0
2026-05-20,extreme_reversion,10,2,2,0,100.0,1.72,86.0,0.0
2026-05-20,extreme_reversion,11,1,1,0,100.0,0.86,86.0,0.0
2026-05-20,extreme_reversion,12,1,1,0,100.0,0.86,86.0,0.0
2026-05-20,extreme_reversion,13,11,5,6,45.45,-1.7,-15.45,0.72
2026-05-20,extreme_reversion,15,1,1,0,100.0,0.86,86.0,0.0
2026-05-20,extreme_reversion,17,2,1,1,50.0,-0.14,-7.0,0.86
2026-05-21,balanced_rebound,9,2,2,0,100.0,1.72,86.0,0.0
2026-05-21,balanced_rebound,14,4,2,2,50.0,-0.28,-7.0,0.86
2026-05-21,balanced_rebound,22,1,1,0,100.0,0.86,86.0,0.0
2026-05-21,extreme_reversion,8,2,1,1,50.0,-0.14,-7.0,0.86
2026-05-21,extreme_reversion,9,6,2,4,33.33,-2.28,-38.0,0.43
2026-05-21,extreme_reversion,13,2,2,0,100.0,1.72,86.0,0.0
2026-05-21,extreme_reversion,14,1,0,1,0.0,-1.0,-100.0,0.0
