trade_hour,trades,wins,losses,winrate,profit,roi,profit_factor
0,40,22,18,55.0,0.84,2.1,1.05
1,55,29,26,52.73,-1.09,-1.98,0.96
2,57,23,34,40.35,-14.33,-25.14,0.58
3,60,23,37,38.33,-16.28,-27.13,0.55
4,56,26,30,46.43,-7.62,-13.61,0.75
5,30,13,17,43.33,-5.85,-19.5,0.66
6,57,33,24,57.89,4.27,7.49,1.18
7,53,26,27,49.06,-3.61,-6.81,0.86
8,14,6,8,42.86,-0.83,-5.93,0.86
9,70,32,38,45.71,-9.38,-13.4,0.75
10,45,19,26,42.22,-8.65,-19.22,0.65
11,41,20,21,48.78,-3.74,-9.12,0.82
12,47,22,25,46.81,-6.07,-12.91,0.76
13,41,22,19,53.66,-0.01,-0.02,1.0
14,65,26,39,40.0,-15.7,-24.15,0.59
15,48,26,22,54.17,2.33,4.85,1.12
16,51,29,22,56.86,5.03,9.86,1.25
17,53,37,16,69.81,14.84,28.0,1.93
18,44,20,24,45.45,-6.75,-15.34,0.72
19,47,25,22,53.19,0.5,1.06,1.02
20,44,21,23,47.73,-5.03,-11.43,0.78
21,43,13,30,30.23,-18.86,-43.86,0.37
22,31,20,11,64.52,6.01,19.39,1.55
23,33,18,15,54.55,0.4,1.21,1.03
