setup,strategy_version,window,hours,trades,wins,losses,winrate,profit,roi,profit_factor
balanced_rebound,v3_cooldown,BR_16_17,16:00-17:00,47,32,15,68.09,12.64,26.89,1.9
balanced_rebound,v4_ema20,BR_16_17,16:00-17:00,57,34,23,59.65,7.23,12.68,1.33
balanced_rebound,v4_ema20,BR_22_23,22:00-23:00,38,23,15,60.53,4.6,12.11,1.31
balanced_rebound,v3_cooldown,BR_16_18,16:00-18:00,67,40,27,59.7,7.54,11.25,1.29
extreme_reversion,v4_ema20,ER_21_23,21:00-23:00,27,16,11,59.26,2.81,10.41,1.26
extreme_reversion,v4_ema20,ER_07_08,07:00-08:00,59,34,25,57.63,5.34,9.05,1.22
balanced_rebound,v4_ema20,BR_16_18,16:00-18:00,81,46,35,56.79,5.58,6.89,1.16
balanced_rebound,v3_cooldown,BR_22_23,22:00-23:00,26,15,11,57.69,1.81,6.96,1.16
extreme_reversion,v3_cooldown,ER_07_08,07:00-08:00,121,67,54,55.37,5.75,4.75,1.11
extreme_reversion,v3_cooldown,ER_17_18,17:00-18:00,124,66,58,53.23,0.78,0.63,1.01
