setup,strategy_version,window,hours,trades,wins,losses,winrate,profit,roi,profit_factor
balanced_rebound,v3_cooldown,BR_16_17,16:00-17:00,47,32,15,68.09,12.64,26.89,1.9
balanced_rebound,v4_ema20,BR_16_17,16:00-17:00,57,34,23,59.65,7.23,12.68,1.33
balanced_rebound,v4_ema20,BR_22_23,22:00-23:00,38,23,15,60.53,4.6,12.11,1.31
balanced_rebound,v3_cooldown,BR_16_18,16:00-18:00,67,40,27,59.7,7.54,11.25,1.29
extreme_reversion,v4_ema20,ER_21_23,21:00-23:00,27,16,11,59.26,2.81,10.41,1.26
extreme_reversion,v4_ema20,ER_07_08,07:00-08:00,59,34,25,57.63,5.34,9.05,1.22
balanced_rebound,v4_ema20,BR_16_18,16:00-18:00,81,46,35,56.79,5.58,6.89,1.16
balanced_rebound,v3_cooldown,BR_22_23,22:00-23:00,26,15,11,57.69,1.81,6.96,1.16
extreme_reversion,v3_cooldown,ER_07_08,07:00-08:00,121,67,54,55.37,5.75,4.75,1.11
extreme_reversion,v3_cooldown,ER_17_18,17:00-18:00,124,66,58,53.23,0.78,0.63,1.01
extreme_reversion,v3_cooldown,ER_21_23,21:00-23:00,112,59,53,52.68,0.7,0.62,1.01
extreme_reversion,v4_ema20,ER_17_18,17:00-18:00,57,29,28,50.88,-1.1,-1.93,0.96
extreme_reversion,v3_cooldown,ER_NEG_20,20:00,66,29,37,43.94,-11.03,-16.71,0.69
balanced_rebound,v3_cooldown,BR_NEG_02_03,02:00-03:00,50,22,28,44.0,-9.16,-18.32,0.67
extreme_reversion,v3_cooldown,ER_NEG_09,09:00,112,46,66,41.07,-25.56,-22.82,0.61
balanced_rebound,v3_cooldown,BR_NEG_20_21,20:00-21:00,38,15,23,39.47,-10.14,-26.68,0.56
extreme_reversion,v4_ema20,ER_NEG_09,09:00,75,29,46,38.67,-20.14,-26.85,0.55
balanced_rebound,v4_ema20,BR_NEG_20_21,20:00-21:00,49,19,30,38.78,-13.75,-28.06,0.54
extreme_reversion,v4_ema20,ER_NEG_14,14:00,19,7,12,36.84,-6.02,-31.68,0.5
balanced_rebound,v4_ema20,BR_NEG_02_03,02:00-03:00,67,24,43,35.82,-21.45,-32.01,0.49
extreme_reversion,v3_cooldown,ER_NEG_14,14:00,55,19,36,34.55,-17.67,-32.13,0.48
extreme_reversion,v4_ema20,ER_NEG_20,20:00,33,11,22,33.33,-11.49,-34.82,0.45
