simulation,strategy_version,trades,wins,losses,winrate,profit,roi,profit_factor,daily_avg_profit,positive_days,negative_days
FILTER_VOLATILITY,v2,7,4,3,57.14,0.44,6.29,1.15,0.44,1,0
FILTER_COMBINED,v4_ema20,1192,629,563,52.77,-12.73,-1.07,0.98,-0.55,11,12
FILTER_EXTENDED_HOURS,v4_ema20,1508,775,733,51.39,-52.48,-3.48,0.93,-2.28,10,13
FILTER_BAD_HOURS,v4_ema20,1534,784,750,51.11,-61.8,-4.03,0.92,-2.69,10,13
FILTER_VOLATILITY,v4_ema20,1383,705,678,50.98,-59.76,-4.32,0.91,-2.6,9,14
FILTER_COMBINED,v3_cooldown,1918,973,945,50.73,-92.24,-4.81,0.9,-3.29,8,20
FILTER_EXTENDED_HOURS,v3_cooldown,2162,1085,1077,50.19,-123.23,-5.7,0.88,-4.4,9,19
ORIGINAL,v4_ema20,1724,859,865,49.83,-109.74,-6.37,0.87,-4.77,7,16
FILTER_BAD_HOURS,v3_cooldown,2233,1111,1122,49.75,-143.95,-6.45,0.87,-5.14,8,20
FILTER_COMBINED,v2,4,2,2,50.0,-0.28,-7.0,0.86,-0.28,0,1
ORIGINAL,v2,12,6,6,50.0,-0.84,-7.0,0.86,-0.84,0,1
FILTER_VOLATILITY,v3_cooldown,2232,1108,1124,49.64,-151.72,-6.8,0.86,-5.42,7,21
ORIGINAL,v3_cooldown,2500,1227,1273,49.08,-193.78,-7.75,0.84,-6.92,6,22
FILTER_BAD_HOURS,v2,9,4,5,44.44,-1.56,-17.33,0.69,-1.56,0,1
FILTER_EXTENDED_HOURS,v2,9,4,5,44.44,-1.56,-17.33,0.69,-1.56,0,1
