tree,leaf_id,trades,wins,losses,winrate,profit,roi,profit_factor
OPERATIONAL EXTREME,9,252,143,109,56.75,14.37,5.7,1.13
OPERATIONAL EXTREME,13,134,71,63,52.99,-0.06,-0.04,1.0
OPERATIONAL EXTREME,12,131,70,61,53.44,-0.24,-0.18,1.0
OPERATIONAL BALANCED,8,150,80,70,53.33,-0.45,-0.3,0.99
OPERATIONAL GLOBAL,5,2188,1159,1029,52.97,-14.14,-0.65,0.99
OPERATIONAL BALANCED,7,120,64,56,53.33,-1.08,-0.9,0.98
OPERATIONAL EXTREME,8,260,137,123,52.69,-5.47,-2.1,0.96
OPERATIONAL EXTREME,5,991,507,484,51.16,-34.58,-3.49,0.93
OPERATIONAL BALANCED,10,144,75,69,52.08,-5.45,-3.78,0.92
OPERATIONAL GLOBAL,11,637,324,313,50.86,-26.91,-4.22,0.91
OPERATIONAL BALANCED,5,155,78,77,50.32,-8.2,-5.29,0.89
OPERATIONAL BALANCED,4,225,114,111,50.67,-12.45,-5.53,0.89
OPERATIONAL GLOBAL,15,155,77,78,49.68,-9.04,-5.83,0.88
OPERATIONAL BALANCED,11,169,82,87,48.52,-14.68,-8.69,0.83
OPERATIONAL BALANCED,14,161,75,86,46.58,-17.74,-11.02,0.78
OPERATIONAL EXTREME,16,392,182,210,46.43,-44.85,-11.44,0.78
OPERATIONAL EXTREME,6,121,56,65,46.28,-17.2,-14.21,0.74
OPERATIONAL BALANCED,15,189,86,103,45.5,-25.28,-13.38,0.74
OPERATIONAL GLOBAL,10,502,229,273,45.62,-69.76,-13.9,0.74
OPERATIONAL GLOBAL,6,132,60,72,45.45,-19.78,-14.98,0.72
OPERATIONAL EXTREME,15,145,63,82,43.45,-27.0,-18.62,0.67
OPERATIONAL GLOBAL,12,117,50,67,42.74,-23.38,-19.98,0.65
OPERATIONAL EXTREME,18,207,87,120,42.03,-43.5,-21.01,0.63
OPERATIONAL BALANCED,16,134,56,78,41.79,-29.04,-21.67,0.62
OPERATIONAL EXTREME,17,132,54,78,40.91,-29.78,-22.56,0.61
OPERATIONAL GLOBAL,7,171,68,103,39.77,-43.6,-25.5,0.57
OPERATIONAL GLOBAL,16,180,68,112,37.78,-50.79,-28.22,0.53
OPERATIONAL GLOBAL,14,130,45,85,34.62,-45.28,-34.83,0.46
